"2019 Poverty and Median Household Income Estimates - Counties, States, and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release date:  December 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Postal Code,CA County,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,,
CA,California,"4,560,419","4,509,811","4,611,027",11.8,11.7,11.9,"1,363,913","1,335,622","1,392,204",15.6,15.3,15.9,"969,127","944,427","993,827",15.2,14.8,15.6,"80,423","80,110","80,736","362,735","349,016","376,454",15.7,15.1,16.3,,
CA,Alameda County,"146,315","135,008","157,622",8.9,8.2,9.6,"32,720","28,023","37,417",9.8,8.4,11.2,"22,189","18,330","26,048",9.2,7.6,10.8,"107,589","105,354","109,824",.,.,.,.,.,.,,
CA,Alpine County,193,145,241,17.2,13.0,21.4,58,40,76,29.6,20.3,38.9,38,25,51,25.5,16.6,34.4,"58,112","50,969","65,255",.,.,.,.,.,.,,
CA,Amador County,"3,462","2,620","4,304",9.8,7.4,12.2,737,495,979,12.5,8.4,16.6,514,329,699,12.0,7.7,16.3,"62,640","58,769","66,511",.,.,.,.,.,.,,
CA,Butte County,"34,503","30,323","38,683",16.1,14.2,18.0,"6,997","5,071","8,923",16.1,11.7,20.5,"4,767","3,340","6,194",15.1,10.6,19.6,"58,394","54,390","62,398",.,.,.,.,.,.,,
CA,Calaveras County,"5,477","4,255","6,699",12.1,9.4,14.8,"1,479","1,089","1,869",19.6,14.4,24.8,"1,055",757,"1,353",19.1,13.7,24.5,"68,248","61,762","74,734",.,.,.,.,.,.,,
CA,Colusa County,"2,554","2,066","3,042",12.0,9.7,14.3,881,658,"1,104",15.3,11.4,19.2,586,409,763,13.7,9.5,17.9,"59,048","52,756","65,340",.,.,.,.,.,.,,
CA,Contra Costa County,"90,482","81,216","99,748",7.9,7.1,8.7,"25,256","21,329","29,183",9.9,8.4,11.4,"17,830","14,898","20,762",9.3,7.8,10.8,"106,555","103,354","109,756",.,.,.,.,.,.,,
CA,Del Norte County,"4,445","3,261","5,629",17.9,13.1,22.7,"1,454",981,"1,927",25.8,17.4,34.2,"1,003",642,"1,364",23.8,15.2,32.4,"48,979","43,919","54,039",.,.,.,.,.,.,,
CA,El Dorado County,"16,649","14,268","19,030",8.7,7.5,9.9,"3,418","2,600","4,236",9.1,6.9,11.3,"2,244","1,623","2,865",7.8,5.6,10.0,"86,202","81,001","91,403",.,.,.,.,.,.,,
CA,Fresno County,"200,873","188,411","213,335",20.5,19.2,21.8,"80,569","73,918","87,220",29.0,26.6,31.4,"58,356","53,660","63,052",28.8,26.5,31.1,"56,926","54,617","59,235",.,.,.,.,.,.,,
CA,Glenn County,"3,397","2,503","4,291",12.1,8.9,15.3,"1,347",903,"1,791",18.1,12.1,24.1,953,615,"1,291",17.4,11.2,23.6,"55,682","49,829","61,535",.,.,.,.,.,.,,
CA,Humboldt County,"25,136","22,243","28,029",19.1,16.9,21.3,"5,120","3,952","6,288",20.5,15.8,25.2,"3,752","2,852","4,652",20.8,15.8,25.8,"51,134","47,446","54,822",.,.,.,.,.,.,,
CA,Imperial County,"38,020","32,901","43,139",22.0,19.0,25.0,"15,633","13,074","18,192",30.7,25.7,35.7,"10,447","8,453","12,441",28.5,23.1,33.9,"48,102","45,177","51,027",.,.,.,.,.,.,,
CA,Inyo County,"2,071","1,606","2,536",11.7,9.1,14.3,567,385,749,15.4,10.5,20.3,391,254,528,14.5,9.4,19.6,"59,605","53,169","66,041",.,.,.,.,.,.,,
CA,Kern County,"164,817","150,998","178,636",19.0,17.4,20.6,"66,306","59,182","73,430",26.0,23.2,28.8,"49,201","43,943","54,459",26.3,23.5,29.1,"53,245","51,116","55,374",.,.,.,.,.,.,,
CA,Kings County,"21,840","18,284","25,396",16.0,13.4,18.6,"9,088","7,446","10,730",22.3,18.3,26.3,"6,003","4,753","7,253",20.5,16.2,24.8,"57,297","53,359","61,235",.,.,.,.,.,.,,
CA,Lake County,"11,622","9,453","13,791",18.3,14.9,21.7,"3,340","2,418","4,262",25.2,18.2,32.2,"2,345","1,687","3,003",24.7,17.8,31.6,"46,897","43,418","50,376",.,.,.,.,.,.,,
CA,Lassen County,"3,789","2,926","4,652",16.5,12.7,20.3,772,526,"1,018",15.0,10.2,19.8,508,329,687,13.8,8.9,18.7,"53,613","49,328","57,898",.,.,.,.,.,.,,
CA,Los Angeles County,"1,319,242","1,280,878","1,357,606",13.4,13.0,13.8,"385,475","367,258","403,692",18.3,17.4,19.2,"277,650","263,702","291,598",18.1,17.2,19.0,"72,721","72,077","73,365",.,.,.,.,.,.,,
CA,Madera County,"26,309","22,123","30,495",17.6,14.8,20.4,"11,023","8,988","13,058",26.1,21.3,30.9,"7,535","5,949","9,121",24.4,19.3,29.5,"61,105","56,926","65,284",.,.,.,.,.,.,,
CA,Marin County,"17,357","14,718","19,996",6.9,5.9,7.9,"3,621","2,737","4,505",7.2,5.5,8.9,"2,423","1,768","3,078",6.2,4.5,7.9,"112,069","105,883","118,255",.,.,.,.,.,.,,
CA,Mariposa County,"2,565","2,023","3,107",15.1,11.9,18.3,598,422,774,21.9,15.4,28.4,442,304,580,22.0,15.1,28.9,"52,760","46,592","58,928",.,.,.,.,.,.,,
CA,Mendocino County,"11,980","9,907","14,053",14.0,11.6,16.4,"3,628","2,647","4,609",20.4,14.9,25.9,"2,304","1,534","3,074",17.9,11.9,23.9,"52,309","48,788","55,830",.,.,.,.,.,.,,
CA,Merced County,"46,011","38,982","53,040",17.0,14.4,19.6,"17,979","14,250","21,708",22.5,17.8,27.2,"13,177","10,506","15,848",22.4,17.9,26.9,"59,733","56,813","62,653",.,.,.,.,.,.,,
CA,Modoc County,"1,757","1,362","2,152",20.5,15.9,25.1,507,357,657,31.0,21.8,40.2,354,237,471,29.2,19.5,38.9,"45,311","40,289","50,333",.,.,.,.,.,.,,
CA,Mono County,"1,437","1,097","1,777",10.1,7.7,12.5,306,213,399,12.0,8.3,15.7,208,138,278,11.2,7.4,15.0,"66,226","58,152","74,300",.,.,.,.,.,.,,
CA,Monterey County,"52,484","46,226","58,742",12.6,11.1,14.1,"20,237","17,631","22,843",18.4,16.0,20.8,"13,825","11,957","15,693",17.1,14.8,19.4,"76,509","73,761","79,257",.,.,.,.,.,.,,
CA,Napa County,"9,897","7,877","11,917",7.4,5.9,8.9,"2,295","1,625","2,965",8.4,5.9,10.9,"1,596","1,082","2,110",7.7,5.2,10.2,"90,230","85,254","95,206",.,.,.,.,.,.,,
CA,Nevada County,"9,268","7,229","11,307",9.4,7.3,11.5,"2,242","1,594","2,890",13.5,9.6,17.4,"1,580","1,090","2,070",12.8,8.8,16.8,"69,550","63,962","75,138",.,.,.,.,.,.,,
CA,Orange County,"297,658","277,889","317,427",9.5,8.9,10.1,"84,854","75,682","94,026",12.6,11.2,14.0,"61,939","55,357","68,521",12.5,11.2,13.8,"95,761","94,655","96,867",.,.,.,.,.,.,,
CA,Placer County,"26,170","22,169","30,171",6.6,5.6,7.6,"6,518","5,156","7,880",7.5,5.9,9.1,"4,938","3,914","5,962",7.5,5.9,9.1,"97,688","94,270","101,106",.,.,.,.,.,.,,
CA,Plumas County,"2,432","1,863","3,001",13.2,10.1,16.3,618,435,801,19.3,13.6,25.0,440,302,578,19.2,13.2,25.2,"59,376","52,714","66,038",.,.,.,.,.,.,,
CA,Riverside County,"274,953","255,600","294,306",11.3,10.5,12.1,"84,674","76,013","93,335",14.1,12.7,15.5,"59,063","51,982","66,144",13.2,11.6,14.8,"72,905","71,384","74,426",.,.,.,.,.,.,,
CA,Sacramento County,"192,993","177,822","208,164",12.6,11.6,13.6,"57,162","50,189","64,135",16.0,14.0,18.0,"38,811","33,020","44,602",14.9,12.7,17.1,"71,891","70,566","73,216",.,.,.,.,.,.,,
CA,San Benito County,"6,518","5,414","7,622",10.4,8.6,12.2,"2,188","1,746","2,630",13.9,11.1,16.7,"1,607","1,272","1,942",13.8,10.9,16.7,"84,209","77,370","91,048",.,.,.,.,.,.,,
CA,San Bernardino County,"284,359","264,289","304,429",13.3,12.4,14.2,"103,341","92,511","114,171",18.5,16.6,20.4,"73,249","64,705","81,793",17.9,15.8,20.0,"67,398","65,585","69,211",.,.,.,.,.,.,,
CA,San Diego County,"335,034","313,969","356,099",10.3,9.6,11.0,"89,798","79,659","99,937",12.8,11.4,14.2,"62,923","54,782","71,064",12.5,10.9,14.1,"83,576","81,951","85,201",.,.,.,.,.,.,,
CA,San Francisco County,"82,616","75,280","89,952",9.5,8.7,10.3,"10,670","7,651","13,689",9.3,6.7,11.9,"7,467","5,224","9,710",9.8,6.9,12.7,"121,795","118,061","125,529",.,.,.,.,.,.,,
CA,San Joaquin County,"101,772","91,702","111,842",13.6,12.3,14.9,"36,541","31,606","41,476",18.2,15.7,20.7,"24,395","20,601","28,189",16.4,13.8,19.0,"68,458","66,073","70,843",.,.,.,.,.,.,,
CA,San Luis Obispo County,"31,180","26,972","35,388",11.6,10.0,13.2,"5,427","3,950","6,904",11.2,8.2,14.2,"3,830","2,744","4,916",10.7,7.7,13.7,"76,599","73,318","79,880",.,.,.,.,.,.,,
CA,San Mateo County,"46,328","40,416","52,240",6.1,5.3,6.9,"9,582","7,326","11,838",6.3,4.8,7.8,"6,528","4,891","8,165",5.9,4.4,7.4,"135,234","129,894","140,574",.,.,.,.,.,.,,
CA,Santa Barbara County,"51,298","45,550","57,046",12.0,10.7,13.3,"12,571","9,751","15,391",13.1,10.2,16.0,"8,813","6,593","11,033",12.8,9.6,16.0,"74,530","70,737","78,323",.,.,.,.,.,.,,
CA,Santa Clara County,"116,401","105,726","127,076",6.1,5.5,6.7,"22,559","17,795","27,323",5.5,4.3,6.7,"16,217","12,805","19,629",5.4,4.3,6.5,"132,444","129,361","135,527",.,.,.,.,.,.,,
CA,Santa Cruz County,"27,531","23,215","31,847",10.6,8.9,12.3,"5,275","3,638","6,912",10.4,7.2,13.6,"3,855","2,603","5,107",10.3,7.0,13.6,"85,770","80,182","91,358",.,.,.,.,.,.,,
CA,Shasta County,"23,508","19,580","27,436",13.3,11.1,15.5,"6,214","4,471","7,957",16.5,11.9,21.1,"4,178","2,764","5,592",15.3,10.1,20.5,"61,464","58,759","64,169",.,.,.,.,.,.,,
CA,Sierra County,375,281,469,12.7,9.5,15.9,89,61,117,18.4,12.7,24.1,64,43,85,18.5,12.3,24.7,"55,862","49,086","62,638",.,.,.,.,.,.,,
CA,Siskiyou County,"7,484","6,176","8,792",17.4,14.4,20.4,"2,186","1,619","2,753",25.5,18.9,32.1,"1,623","1,188","2,058",25.4,18.6,32.2,"45,954","41,295","50,613",.,.,.,.,.,.,,
CA,Solano County,"39,018","33,971","44,065",9.0,7.8,10.2,"10,866","8,782","12,950",11.2,9.0,13.4,"7,859","6,329","9,389",11.2,9.0,13.4,"85,704","82,408","89,000",.,.,.,.,.,.,,
CA,Sonoma County,"34,758","29,838","39,678",7.2,6.2,8.2,"7,197","5,225","9,169",7.7,5.6,9.8,"4,760","3,109","6,411",6.8,4.4,9.2,"87,084","84,158","90,010",.,.,.,.,.,.,,
CA,Stanislaus County,"70,741","62,626","78,856",13.0,11.5,14.5,"24,942","20,684","29,200",17.1,14.2,20.0,"16,980","13,879","20,081",15.8,12.9,18.7,"62,761","60,278","65,244",.,.,.,.,.,.,,
CA,Sutter County,"12,310","9,844","14,776",12.8,10.2,15.4,"4,274","3,091","5,457",17.4,12.6,22.2,"3,044","2,126","3,962",16.9,11.8,22.0,"60,910","56,448","65,372",.,.,.,.,.,.,,
CA,Tehama County,"10,484","8,349","12,619",16.3,13.0,19.6,"3,567","2,598","4,536",23.7,17.3,30.1,"2,551","1,823","3,279",22.9,16.4,29.4,"51,672","45,983","57,361",.,.,.,.,.,.,,
CA,Trinity County,"1,986","1,494","2,478",16.5,12.4,20.6,519,348,690,25.3,17.0,33.6,382,249,515,25.6,16.7,34.5,"43,881","39,175","48,587",.,.,.,.,.,.,,
CA,Tulare County,"86,940","76,005","97,875",18.9,16.5,21.3,"36,193","30,331","42,055",25.8,21.6,30.0,"26,899","22,386","31,412",25.8,21.5,30.1,"56,776","54,401","59,151",.,.,.,.,.,.,,
CA,Tuolumne County,"5,781","4,457","7,105",11.3,8.7,13.9,"1,361",913,"1,809",15.2,10.2,20.2,945,611,"1,279",14.5,9.4,19.6,"64,729","59,115","70,343",.,.,.,.,.,.,,
CA,Ventura County,"68,482","59,756","77,208",8.2,7.2,9.2,"21,240","17,596","24,884",11.4,9.4,13.4,"15,456","12,675","18,237",11.1,9.1,13.1,"91,446","88,664","94,228",.,.,.,.,.,.,,
CA,Yolo County,"35,608","32,389","38,827",16.9,15.4,18.4,"5,846","4,478","7,214",13.0,10.0,16.0,"4,312","3,277","5,347",12.9,9.8,16.0,"70,951","67,005","74,897",.,.,.,.,.,.,,
CA,Yuba County,"11,748","9,593","13,903",15.2,12.4,18.0,"3,990","2,805","5,175",18.8,13.2,24.4,"2,723","1,758","3,688",18.0,11.6,24.4,"56,607","53,088","60,126",.,.,.,.,.,.,,